id_transaccion,cliente_id,monto,categoria,fecha
1,C001,82.5,Electrónica,2024-01-01
2,C002,65.0,Ropa,2024-01-02
3,C003,47.5,Alimentos,2024-01-03
4,C004,30.0,Hogar,2024-01-04
5,C005,112.5,Salud,2024-01-05
6,C006,95.0,Electrónica,2024-01-06
7,C007,77.5,Ropa,2024-01-07
8,C008,60.0,Alimentos,2024-01-08
9,C009,42.5,Hogar,2024-01-09
10,C010,125.0,Salud,2024-01-10
11,C011,107.5,Electrónica,2024-01-11
12,C012,90.0,Ropa,2024-01-12
13,C013,72.5,Alimentos,2024-01-13
14,C014,55.0,Hogar,2024-01-14
15,C015,137.5,Salud,2024-01-15
16,C016,120.0,Electrónica,2024-01-16
17,C017,102.5,Ropa,2024-01-17
18,C018,85.0,Alimentos,2024-01-18
19,C019,67.5,Hogar,2024-01-19
20,C020,150.0,Salud,2024-01-20
21,C021,132.5,Electrónica,2024-01-21
22,C022,115.0,Ropa,2024-01-22
23,C023,97.5,Alimentos,2024-01-23
24,C024,80.0,Hogar,2024-01-24
25,C025,162.5,Salud,2024-01-25
26,C026,145.0,Electrónica,2024-01-26
27,C027,127.5,Ropa,2024-01-27
28,C028,110.0,Alimentos,2024-01-28
29,C029,92.5,Hogar,2024-01-29
30,C030,175.0,Salud,2024-01-30
31,C031,157.5,Electrónica,2024-01-31
32,C032,140.0,Ropa,2024-02-01
33,C033,122.5,Alimentos,2024-02-02
34,C034,105.0,Hogar,2024-02-03
35,C035,187.5,Salud,2024-02-04
36,C036,170.0,Electrónica,2024-02-05
37,C037,152.5,Ropa,2024-02-06
38,C038,135.0,Alimentos,2024-02-07
39,C039,117.5,Hogar,2024-02-08
40,C040,200.0,Salud,2024-02-09
41,C041,182.5,Electrónica,2024-02-10
42,C042,165.0,Ropa,2024-02-11
43,C043,147.5,Alimentos,2024-02-12
44,C044,130.0,Hogar,2024-02-13
45,C045,212.5,Salud,2024-02-14
46,C046,195.0,Electrónica,2024-02-15
47,C047,177.5,Ropa,2024-02-16
48,C048,160.0,Alimentos,2024-02-17
49,C049,142.5,Hogar,2024-02-18
50,C050,225.0,Salud,2024-02-19
51,C051,207.5,Electrónica,2024-02-20
52,C052,190.0,Ropa,2024-02-21
53,C053,172.5,Alimentos,2024-02-22
54,C054,155.0,Hogar,2024-02-23
55,C055,237.5,Salud,2024-02-24
56,C056,220.0,Electrónica,2024-02-25
57,C057,202.5,Ropa,2024-02-26
58,C058,185.0,Alimentos,2024-02-27
59,C059,167.5,Hogar,2024-02-28
60,C060,250.0,Salud,2024-02-29
61,C061,232.5,Electrónica,2024-03-01
62,C062,215.0,Ropa,2024-03-02
63,C063,197.5,Alimentos,2024-03-03
64,C064,180.0,Hogar,2024-03-04
65,C065,262.5,Salud,2024-03-05
66,C066,245.0,Electrónica,2024-03-06
67,C067,227.5,Ropa,2024-03-07
68,C068,210.0,Alimentos,2024-03-08
69,C069,192.5,Hogar,2024-03-09
70,C070,275.0,Salud,2024-03-10
71,C071,257.5,Electrónica,2024-03-11
72,C072,240.0,Ropa,2024-03-12
73,C073,222.5,Alimentos,2024-03-13
74,C074,205.0,Hogar,2024-03-14
75,C075,287.5,Salud,2024-03-15
76,C076,270.0,Electrónica,2024-03-16
77,C077,252.5,Ropa,2024-03-17
78,C078,235.0,Alimentos,2024-03-18
79,C079,217.5,Hogar,2024-03-19
80,C080,300.0,Salud,2024-03-20
81,C081,282.5,Electrónica,2024-03-21
82,C082,265.0,Ropa,2024-03-22
83,C083,247.5,Alimentos,2024-03-23
84,C084,230.0,Hogar,2024-03-24
85,C085,312.5,Salud,2024-03-25
86,C086,295.0,Electrónica,2024-03-26
87,C087,277.5,Ropa,2024-03-27
88,C088,260.0,Alimentos,2024-03-28
89,C089,242.5,Hogar,2024-03-29
90,C090,325.0,Salud,2024-03-30
91,C091,307.5,Electrónica,2024-03-31
92,C092,290.0,Ropa,2024-04-01
93,C093,272.5,Alimentos,2024-04-02
94,C094,255.0,Hogar,2024-04-03
95,C095,337.5,Salud,2024-04-04
96,C096,320.0,Electrónica,2024-04-05
97,C097,302.5,Ropa,2024-04-06
98,C098,285.0,Alimentos,2024-04-07
99,C099,267.5,Hogar,2024-04-08
100,C100,350.0,Salud,2024-04-09
